Tabela 3940 - Produção da aquicultura, por tipo de produto;;;
Variável - Valor da produção (Mil Reais);;;
Tipo de produto da aquicultura - Total;;;
;Ano;;
Município;2014;2015;2016
Alta Floresta D'Oeste (RO);11600;21617;16535
Ariquemes (RO);49024;71759;83684
Cabixi (RO);520;494;474
Cacoal (RO);2817;3998;1229
Cerejeiras (RO);1235;1499;471
Colorado do Oeste (RO);3274;4001;2431
Corumbiara (RO);153;134;538
Costa Marques (RO);2210;3667;393
Espigão D'Oeste (RO);2273;3629;1417
Guajará-Mirim (RO);2495;3763;79
Jaru (RO);12053;16730;9706
Ji-Paraná (RO);10387;17672;6810
Machadinho D'Oeste (RO);7768;12431;18736
Nova Brasilândia D'Oeste (RO);2162;3159;1981
Ouro Preto do Oeste (RO);13843;21222;25166
Pimenta Bueno (RO);37301;41876;43105
Porto Velho (RO);24507;31553;16944
Presidente Médici (RO);5330;9938;1932
Rio Crespo (RO);16619;21225;31740
Rolim de Moura (RO);13414;13815;12312
Santa Luzia D'Oeste (RO);2864;4404;3173
Vilhena (RO);3672;5030;2998
São Miguel do Guaporé (RO);2668;9613;1927
Nova Mamoré (RO);1096;1314;1415
Alvorada D'Oeste (RO);2943;3698;1792
Alto Alegre dos Parecis (RO);2551;4822;1198
Alto Paraíso (RO);9380;13538;7273
Buritis (RO);3336;9195;3702
Novo Horizonte do Oeste (RO);1309;2793;1805
Cacaulândia (RO);19301;26918;23815
Campo Novo de Rondônia (RO);1809;3246;5628
Candeias do Jamari (RO);7062;11862;4407
Castanheiras (RO);1017;1518;444
Chupinguaia (RO);931;572;328
Cujubim (RO);25525;46158;36864
Governador Jorge Teixeira (RO);3069;6005;1323
Itapuã do Oeste (RO);11045;14946;5237
Ministro Andreazza (RO);309;989;152
Mirante da Serra (RO);26141;37426;11069
Monte Negro (RO);7903;13512;13890
Nova União (RO);9363;12740;3518
Parecis (RO);60;136;210
Pimenteiras do Oeste (RO);38;461;99
Primavera de Rondônia (RO);761;1045;648
São Felipe D'Oeste (RO);408;718;234
São Francisco do Guaporé (RO);1225;1947;376
Seringueiras (RO);370;557;171
Teixeirópolis (RO);2476;2740;550
Theobroma (RO);4092;8325;4923
Urupá (RO);27700;37305;8376
Vale do Anari (RO);376;1262;657
Vale do Paraíso (RO);17116;18770;18322
Acrelândia (AC);1867;1631;1029
Assis Brasil (AC);495;631;761
Brasiléia (AC);2621;2453;3266
Bujari (AC);2897;5220;3298
Capixaba (AC);989;406;522
Cruzeiro do Sul (AC);3138;5231;5016
Epitaciolândia (AC);1487;1444;582
Feijó (AC);1620;1208;1318
Jordão (AC);...;21;31
Mâncio Lima (AC);2944;2931;1824
Manoel Urbano (AC);215;252;199
Marechal Thaumaturgo (AC);540;1988;642
Plácido de Castro (AC);1297;2431;1283
Porto Walter (AC);220;1445;1180
Rio Branco (AC);5900;6565;4440
