Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes;;;
Variável - Valor da produção (Mil Reais);;;
Produto das lavouras temporárias e permanentes - Total;;;
;Ano;;
Município;2014;2015;2016
Alta Floresta D'Oeste (RO);71553;77929;102512
Ariquemes (RO);21367;28058;32463
Cabixi (RO);70933;81231;86786
Cacoal (RO);67398;65923;92886
Cerejeiras (RO);139534;120600;125405
Colorado do Oeste (RO);26988;16974;19179
Corumbiara (RO);168458;150447;161542
Costa Marques (RO);2996;4393;3739
Espigão D'Oeste (RO);16544;17767;22304
Guajará-Mirim (RO);5855;6298;17961
Jaru (RO);34732;45703;70149
Ji-Paraná (RO);18082;13617;23790
Machadinho D'Oeste (RO);82273;87873;133300
Nova Brasilândia D'Oeste (RO);28695;32993;46907
Ouro Preto do Oeste (RO);7183;6598;11864
Pimenta Bueno (RO);10580;11810;16019
Porto Velho (RO);124216;163410;285192
Presidente Médici (RO);9753;10109;13109
Rio Crespo (RO);35908;38418;56395
Rolim de Moura (RO);37210;21084;37758
Santa Luzia D'Oeste (RO);66624;22551;37574
Vilhena (RO);201568;218804;301917
São Miguel do Guaporé (RO);65191;79260;90709
Nova Mamoré (RO);37662;29180;27271
Alvorada D'Oeste (RO);16300;14936;17901
Alto Alegre dos Parecis (RO);70658;60151;77812
Alto Paraíso (RO);16166;12693;31372
Buritis (RO);40259;38449;63156
Novo Horizonte do Oeste (RO);11440;13424;15149
Cacaulândia (RO);20126;10798;20331
Campo Novo de Rondônia (RO);18158;26452;13013
Candeias do Jamari (RO);29391;38046;38307
Castanheiras (RO);11476;13694;16686
Chupinguaia (RO);108393;102753;124869
Cujubim (RO);25587;32978;42896
Governador Jorge Teixeira (RO);6325;8330;11838
Itapuã do Oeste (RO);10405;10949;17738
Ministro Andreazza (RO);28596;26923;40450
Mirante da Serra (RO);25668;26392;24623
Monte Negro (RO);23687;25614;16646
Nova União (RO);6181;5435;6907
Parecis (RO);3247;4106;3665
Pimenteiras do Oeste (RO);87477;97074;105181
Primavera de Rondônia (RO);6400;3821;5602
São Felipe D'Oeste (RO);9291;7630;9978
São Francisco do Guaporé (RO);7056;6742;11474
Seringueiras (RO);19417;26429;28691
Teixeirópolis (RO);2251;3200;7834
Theobroma (RO);10307;13967;29121
Urupá (RO);7072;6818;10120
Vale do Anari (RO);11687;11816;17070
Vale do Paraíso (RO);4298;3063;6949
Acrelândia (AC);36935;43199;47793
Assis Brasil (AC);10357;8188;11712
Brasiléia (AC);17691;17307;17742
Bujari (AC);19872;28087;30232
Capixaba (AC);36363;34297;33925
Cruzeiro do Sul (AC);47366;25899;26529
Epitaciolândia (AC);18197;17490;19380
Feijó (AC);43179;44564;49287
Jordão (AC);8260;11081;11185
Mâncio Lima (AC);41822;27311;26004
Manoel Urbano (AC);14505;10980;9398
Marechal Thaumaturgo (AC);25836;18939;22162
Plácido de Castro (AC);21642;22878;21110
Porto Walter (AC);13171;9534;10088
Rio Branco (AC);26146;22259;30655
Rodrigues Alves (AC);40129;28826;29622
Santa Rosa do Purus (AC);4525;5605;5675
Senador Guiomard (AC);31325;29977;29127
Sena Madureira (AC);101473;57605;49597
Tarauacá (AC);36800;39327;49923
Xapuri (AC);20654;14818;14555
Porto Acre (AC);43883;31429;33972
Alvarães (AM);4335;5263;48949
Amaturá (AM);834;1489;1415
Anamã (AM);1504;777;2984
Anori (AM);3726;1456;4858
Apuí (AM);13629;20855;10358
Atalaia do Norte (AM);8149;18817;20543
Autazes (AM);12066;27032;43860
Barcelos (AM);3688;6822;11292
Barreirinha (AM);4195;2744;2212
Benjamin Constant (AM);7203;1931;18731
Beruri (AM);10925;10954;5449
Boa Vista do Ramos (AM);1272;1343;2988
Boca do Acre (AM);10549;11079;6528
Borba (AM);8989;8242;12925
Caapiranga (AM);3469;4030;6165
Canutama (AM);2217;1016;2692
Carauari (AM);6352;12176;8469
Careiro (AM);13713;24478;13453
Careiro da Várzea (AM);7710;6859;11338
Coari (AM);5860;8308;17657
Codajás (AM);30715;2827;11018
Eirunepé (AM);4815;6704;8428
Envira (AM);20950;16348;22479
Fonte Boa (AM);4849;5207;4297
Guajará (AM);8486;9740;11964
Humaitá (AM);10255;23855;40802
Ipixuna (AM);1663;1563;2003
Iranduba (AM);32695;34019;31924
Itacoatiara (AM);80737;121513;240428
Itamarati (AM);2777;4944;874
Itapiranga (AM);8506;9872;9714
Japurá (AM);3460;4493;6019
Juruá (AM);2739;4324;2228
Jutaí (AM);13260;14889;12597
Lábrea (AM);11293;9615;8561
Manacapuru (AM);245716;234163;268930
Manaquiri (AM);11580;24748;20385
Manaus (AM);10617;13207;19560
Manicoré (AM);87270;91947;100330
Maraã (AM);9486;8885;32001
Maués (AM);34538;25020;15901
