Tabela 74 - Produção de origem animal, por tipo de produto;;;
Variável - Valor da produção (Mil Reais);;;
Tipo de produto de origem animal - Total;;;
;Ano;;
Município;2014;2015;2016
Alta Floresta D'Oeste (RO);8663;7526;6509
Ariquemes (RO);13239;12353;13349
Cabixi (RO);9075;7429;5787
Cacoal (RO);27691;31230;24808
Cerejeiras (RO);4896;5016;4020
Colorado do Oeste (RO);14226;13662;11829
Corumbiara (RO);15002;13501;12441
Costa Marques (RO);7409;7882;5803
Espigão D'Oeste (RO);22287;18265;18937
Guajará-Mirim (RO);2271;1722;2110
Jaru (RO);48956;34901;39992
Ji-Paraná (RO);30819;24469;23652
Machadinho D'Oeste (RO);24229;19809;20415
Nova Brasilândia D'Oeste (RO);10527;7862;11049
Ouro Preto do Oeste (RO);36422;33989;30817
Pimenta Bueno (RO);8043;6803;7082
Porto Velho (RO);13644;16015;21820
Presidente Médici (RO);20968;23874;21062
Rio Crespo (RO);3020;2142;2079
Rolim de Moura (RO);18710;24108;15665
Santa Luzia D'Oeste (RO);10821;10123;8346
Vilhena (RO);18363;37951;31853
São Miguel do Guaporé (RO);17206;17666;14935
Nova Mamoré (RO);29347;29914;25653
Alvorada D'Oeste (RO);16561;16049;19318
Alto Alegre dos Parecis (RO);7692;4196;4764
Alto Paraíso (RO);3486;3206;4119
Buritis (RO);19321;18096;20109
Novo Horizonte do Oeste (RO);10540;8866;8041
Cacaulândia (RO);10640;7626;7721
Campo Novo de Rondônia (RO);20678;17500;16053
Candeias do Jamari (RO);4647;4119;5829
Castanheiras (RO);5840;5439;4468
Chupinguaia (RO);4818;5476;3926
Cujubim (RO);8687;8423;8735
Governador Jorge Teixeira (RO);29233;23668;25400
Itapuã do Oeste (RO);3583;2874;3670
Ministro Andreazza (RO);7583;8426;6925
Mirante da Serra (RO);13322;13216;13140
Monte Negro (RO);16570;12576;10453
Nova União (RO);11784;13724;8637
Parecis (RO);8307;7204;5941
Pimenteiras do Oeste (RO);1693;1795;1403
Primavera de Rondônia (RO);8794;5497;4246
São Felipe D'Oeste (RO);6754;6138;5333
São Francisco do Guaporé (RO);19593;23232;18620
Seringueiras (RO);10690;10835;9046
Teixeirópolis (RO);12079;12662;11813
Theobroma (RO);16212;16868;16666
Urupá (RO);24730;23826;25467
Vale do Anari (RO);10387;9950;9726
Vale do Paraíso (RO);17006;17446;16643
Acrelândia (AC);7124;6961;6228
Assis Brasil (AC);900;1004;1138
Brasiléia (AC);3699;6178;5803
Bujari (AC);1134;1722;1935
Capixaba (AC);2403;3101;3374
Cruzeiro do Sul (AC);3481;4131;4343
Epitaciolândia (AC);2976;3983;4977
Feijó (AC);1869;2404;2917
Jordão (AC);280;321;300
Mâncio Lima (AC);825;1179;1336
Manoel Urbano (AC);555;595;882
Marechal Thaumaturgo (AC);1048;1090;813
Plácido de Castro (AC);4709;5262;6036
