NM_ESTADO;UF;cod;mun;area_mun_2010
Minas Gerais;MG;3170206;Uberlândia;4115,206
Minas Gerais;MG;3100104;Abadia dos Dourados;881,064
Minas Gerais;MG;3100203;Abaeté;1817,067
Minas Gerais;MG;3100302;Abre Campo;470,551
Minas Gerais;MG;3100401;Acaiaca;101,886
Minas Gerais;MG;3100500;Açucena;815,422
Minas Gerais;MG;3100609;Água Boa;1320,268
Minas Gerais;MG;3100708;Água Comprida;492,212
Minas Gerais;MG;3100807;Aguanil;232,091
Minas Gerais;MG;3100906;Águas Formosas;820,079
Minas Gerais;MG;3101003;Águas Vermelhas;1259,279
Minas Gerais;MG;3101102;Aimorés;1348,775
Minas Gerais;MG;3101201;Aiuruoca;649,68
Minas Gerais;MG;3101300;Alagoa;161,356
Minas Gerais;MG;3101409;Albertina;58,01
Minas Gerais;MG;3101508;Além Paraíba;510,354
Minas Gerais;MG;3101607;Alfenas;850,446
Minas Gerais;MG;3101631;Alfredo Vasconcelos;130,815
Minas Gerais;MG;3101706;Almenara;2294,426
Minas Gerais;MG;3101805;Alpercata;166,972
Minas Gerais;MG;3101904;Alpinópolis;454,751
Minas Gerais;MG;3102001;Alterosa;362,01
Minas Gerais;MG;3102050;Alto Caparaó;103,69
Minas Gerais;MG;3102100;Alto Rio Doce;518,053
Minas Gerais;MG;3102209;Alvarenga;278,173
Minas Gerais;MG;3102308;Alvinópolis;599,443
Minas Gerais;MG;3102407;Alvorada de Minas;374,008
Minas Gerais;MG;3102506;Amparo do Serra;145,908
Minas Gerais;MG;3102605;Andradas;469,37
Minas Gerais;MG;3102704;Cachoeira de Pajeú;695,672
Minas Gerais;MG;3102803;Andrelândia;1005,285
Minas Gerais;MG;3102852;Angelândia;185,211
Minas Gerais;MG;3102902;Antônio Carlos;529,915
Minas Gerais;MG;3103009;Antônio Dias;787,061
Minas Gerais;MG;3103108;Antônio Prado de Minas;83,802
Minas Gerais;MG;3103207;Araçaí;186,543
Minas Gerais;MG;3103306;Aracitaba;106,608
Minas Gerais;MG;3103405;Araçuaí;2236,279
Minas Gerais;MG;3103504;Araguari;2729,508
Minas Gerais;MG;3103603;Arantina;89,42
Minas Gerais;MG;3103702;Araponga;303,793
Minas Gerais;MG;3103751;Araporă;295,837
Minas Gerais;MG;3103801;Arapuá;173,894
Minas Gerais;MG;3103900;Araújos;245,522
Minas Gerais;MG;3104007;Araxá;1164,358
Minas Gerais;MG;3104106;Arceburgo;162,875
Minas Gerais;MG;3104205;Arcos;509,873
Minas Gerais;MG;3104304;Areado;283,124
Minas Gerais;MG;3104403;Argirita;159,378
Minas Gerais;MG;3104452;Aricanduva;243,329
Minas Gerais;MG;3104502;Arinos;5279,419
Minas Gerais;MG;3104601;Astolfo Dutra;158,891
Minas Gerais;MG;3104700;Ataléia;1836,977
Minas Gerais;MG;3104809;Augusto de Lima;1254,832
Minas Gerais;MG;3104908;Baependi;750,554
Minas Gerais;MG;3105004;Baldim;556,266
Minas Gerais;MG;3105103;Bambuí;1455,819
Minas Gerais;MG;3105202;Bandeira;483,789
Minas Gerais;MG;3105301;Bandeira do Sul;47,067
