Territorialidades;População rural 2010;População urbana 2010;População economicamente ativa de 18 anos ou mais de idade 2010;Produto Interno Bruto per capita 2014;Produto Interno Bruto per capita 2015;Produto Interno Bruto per capita 2016;Participação da Agropecuária no Valor Adicionado 2014;Participação da Agropecuária no Valor Adicionado 2015;Participação da Agropecuária no Valor Adicionado 2016;Participação da Indústria no Valor Adicionado 2014;Participação da Administração Pública no Valor Adicionado 2014;Participação dos Serviços no Valor Adicionado 2014;Rendimento médio no setor formal 2014;Esperança de vida ao nascer 2014;Média de anos de estudo 2014;% de 25 anos ou mais de idade com ensino superior completo 2014
Brasil;29830007;160925792;89464856;22,44;21,17;20,19;7,49;7,3;7,73;19,59;22,52;50,4;1816,63;75,14;7,85;13,42
Abadia de Goiás (GO);1795;5081;3484;18,86;15,7;13,72;3,59;4,21;4,25;18,97;18,96;58,48;1338,16;;;
Abadia dos Dourados (MG);2515;4189;3322;21,55;16,93;16,99;22,5;27,57;30,22;27,67;14,08;35,76;1053,52;;;
Abadiânia (GO);4979;10778;7275;12,52;11,55;10,38;24,26;20,3;16,4;7,6;21,64;46,49;954,18;;;
Abaeté (MG);2986;19704;11034;11,71;10,42;12,12;15,5;14,3;28,23;13,14;22,17;49,19;952,59;;;
Abaetetuba (PA);58102;82998;54345;5,59;5,72;5,46;12,83;13,47;12,17;6,14;40,98;40,04;942,11;;;
Abaiara (CE);5944;4552;3481;4,54;4,2;4,23;15,89;8,19;6,42;3,37;50,1;30,64;506,8;;;
Abaíra (BA);4580;3736;3455;4,71;4,3;4,64;14,44;15,88;19,92;5,7;47,71;32,14;801,55;;;
Abaré (BA);8035;9029;6123;4,38;4,43;4,15;5,76;8,13;7,74;6,61;56,85;30,78;1065,92;;;
Abatiá (PR);2032;5732;3808;13,45;13,61;14,06;50,17;46,53;46,04;4,99;21,09;23,75;1051,69;;;
Abdon Batista (SC);1929;724;1076;18,58;17,33;16,42;37,58;34,43;40,04;9,96;24,25;28,22;1333,46;;;
Abelardo Luz (SC);7530;9570;8198;25,86;22,91;22,56;29,17;31,44;37,5;18,53;13,32;38,98;1190,5;;;
Abel Figueiredo (PA);746;6034;2637;7,72;6,75;7,37;28,98;23,12;28,53;9,87;34,56;26,59;807,08;;;
Abre Campo (MG);6030;7281;6016;8,91;9,63;9,09;18,86;21,08;24,65;5,72;29,51;45,91;876,89;;;
Abreu E Lima (PE);7804;86625;41583;10,78;9,76;9,55;0,69;0,57;0,62;24,07;26,03;49,21;1132,77;;;
Abreulândia (TO);915;1476;1058;8,48;10,61;12,31;31,42;44,22;44,4;5,88;48,05;14,64;898,37;;;
Acaiaca (MG);1367;2553;1601;6,05;5,67;5,95;10,54;7,76;10,84;5,93;49,97;33,56;840,66;;;
Açailândia (MA);25810;78237;42036;12,88;13,26;12,01;9,15;8,96;8,91;29,39;17,66;43,8;1170,64;;;
Acajutiba (BA);1879;12774;5483;5,74;5,36;4,85;28,18;24,68;20,71;5,98;38,27;27,57;1056,83;;;
Acará (PA);40948;12621;19705;8,41;8,56;9,68;52,65;50,89;57,22;5,59;28,15;13,61;1158,58;;;
Acarape (CE);7356;7982;5181;5,56;5,26;5,19;4,89;3,82;3,94;24,65;41,53;28,94;948,97;;;
Acaraú (CE);29309;28242;20898;6,79;6,5;6,25;15,19;15,47;13,67;18,78;35,09;30,94;1082,88;;;
Acari (RN);2133;8902;4114;7,33;7,17;6,36;13,01;12,98;12,19;9,02;47,29;30,67;835,71;;;
Acauã (PI);5848;901;2815;4,19;4,29;4,07;9,96;14,65;14,97;3,87;62,92;23,25;960,54;;;
Aceguá (RS);3335;1059;2115;35,67;36,93;35,13;53,74;54,58;54,76;5,18;13,05;28,03;1294,61;;;
Acopiara (CE);25932;25228;19055;4,98;4,74;4,63;11,98;9,41;10,16;4,91;44,32;38,78;890,54;;;
Acorizal (MT);2589;2927;1757;7,09;7,66;8,87;17;14,98;15,24;9,49;51,33;22,17;1315,08;;;
Acrelândia (AC);6622;5916;4638;12,02;11,09;10,7;35,84;40,37;40,99;8,03;38,46;17,67;1109,71;;;
Acreúna (GO);2583;17696;10059;19,02;17,26;18,62;33,67;31,7;40,6;9,6;16,9;39,83;1247,42;;;
