Territorialidades;% dos ocupados no setor agropecuário 2010;% dos ocupados no setor extrativo mineral 2010;Esperança de vida ao nascer 2010;População rural 2010;População urbana 2010;População economicamente ativa de 18 anos ou mais de idade 2010;Produto Interno Bruto per capita 2014;Produto Interno Bruto per capita 2015;Participação da Agropecuária no Valor Adicionado 2014;Participação da Agropecuária no Valor Adicionado 2015;Participação da Indústria no Valor Adicionado 2014;Participação da Indústria no Valor Adicionado 2015;% de cobertura vegetal natural 2014;Expectativa de anos de estudo aos 18 anos de idade 2010
Brasil;13,55;0,48;73,94;29830007;160925792;89464856;22,44;21,17;7,49;7,3;19,59;19,01;67,32;9,54
Abadia de Goiás (GO);13,47;0,1;74,82;1795;5081;3484;18,86;15,7;3,59;4,21;18,97;18,65;23,49;7,94
Abadia dos Dourados (MG);37,9;0,17;75,35;2515;4189;3322;21,55;16,93;22,5;27,57;27,67;16,81;33,59;8,68
Abadiânia (GO);26,03;0,32;75,46;4979;10778;7275;12,52;11,55;24,26;20,3;7,6;7,16;37,94;9,31
Abaeté (MG);22,08;0,2;75,9;2986;19704;11034;11,71;10,42;15,5;14,3;13,14;8,11;28,73;9,19
Abaetetuba (PA);31,83;0,51;72,89;58102;82998;54345;5,59;5,72;12,83;13,47;6,14;5,71;64,96;8,99
Abaiara (CE);32,99;;69,87;5944;4552;3481;4,54;4,2;15,89;8,19;3,37;5,03;46,86;9,7
Abaíra (BA);52,45;0,09;69,76;4580;3736;3455;4,71;4,3;14,44;15,88;5,7;4,52;73,95;9,6
Abaré (BA);56,4;;71,55;8035;9029;6123;4,38;4,43;5,76;8,13;6,61;5,69;45,6;7,33
Abatiá (PR);52,55;;73,23;2032;5732;3808;13,45;13,61;50,17;46,53;4,99;5,46;6,11;9,93
Abdon Batista (SC);56,28;;73,74;1929;724;1076;18,58;17,33;37,58;34,43;9,96;7,23;39,12;9,37
Abelardo Luz (SC);42,82;0,16;76,1;7530;9570;8198;25,86;22,91;29,17;31,44;18,53;17,35;28,05;9,86
Abel Figueiredo (PA);32,82;0,26;73;746;6034;2637;7,72;6,75;28,98;23,12;9,87;7,77;35,81;8,51
Abre Campo (MG);45,8;0,24;74,36;6030;7281;6016;8,91;9,63;18,86;21,08;5,72;6,68;16,75;9,34
Abreu E Lima (PE);3,97;0,03;72,46;7804;86625;41583;10,78;9,76;0,69;0,57;24,07;28,07;67,59;10,01
Abreulândia (TO);42,45;;75,12;915;1476;1058;8,48;10,61;31,42;44,22;5,88;2,77;74,21;7,24
Acaiaca (MG);25,16;1,64;74,36;1367;2553;1601;6,05;5,67;10,54;7,76;5,93;5,11;20,72;10,09
Açailândia (MA);19,79;1,26;72,07;25810;78237;42036;12,88;13,26;9,15;8,96;29,39;37,83;36,75;9,34
Acajutiba (BA);43,84;;68,39;1879;12774;5483;5,74;5,36;28,18;24,68;5,98;5,6;7,36;8,28
Acará (PA);52,16;;70,44;40948;12621;19705;8,41;8,56;52,65;50,89;5,59;6,49;80,69;6,03
Acarape (CE);21,18;5,02;67,56;7356;7982;5181;5,56;5,26;4,89;3,82;24,65;21,78;83,12;9,14
Acaraú (CE);49,13;;70,47;29309;28242;20898;6,79;6,5;15,19;15,47;18,78;17,07;37,94;10,03
Acari (RN);18,06;0,99;71,73;2133;8902;4114;7,33;7,17;13,01;12,98;9,02;7,41;75,34;10,05
Acauã (PI);79,71;;66,53;5848;901;2815;4,19;4,29;9,96;14,65;3,87;3,35;53,16;9
Aceguá (RS);54,81;;76,14;3335;1059;2115;35,67;36,93;53,74;54,58;5,18;4,73;55,81;9,88
Acopiara (CE);49,84;;68,41;25932;25228;19055;4,98;4,74;11,98;9,41;4,91;5,21;75,29;9,94
Acorizal (MT);34,41;;73,98;2589;2927;1757;7,09;7,66;17;14,98;9,49;12,96;73,57;6,99
Acrelândia (AC);47,69;0,11;73,45;6622;5916;4638;12,02;11,09;35,84;40,37;8,03;6,44;27,06;7,35
Acreúna (GO);22,81;0,06;74,29;2583;17696;10059;19,02;17,26;33,67;31,7;9,6;10,3;28,47;9,78
Açucena (MG);41,22;0,4;75,66;5471;4805;3810;6,53;5,82;19,35;16,39;18,73;15,94;29,65;8,49
Açu (RN);19,16;1,22;72,69;13868;39359;22330;11,51;10,75;2,18;2,3;32,97;27,9;47,13;9,72
Adamantina (SP);7,05;0,12;76,13;1849;31948;17243;19,41;21,82;4,59;3,59;13,86;27,11;2,26;10,39
Adelândia (GO);29,98;;75,17;270;2207;1174;9,37;8,52;24,48;24,62;9,73;9,4;11,49;10,84
Adolfo (SP);31,35;1,71;75,62;357;3200;1738;16,66;14,69;38,22;30,03;7,77;8,02;6,25;10,13
Adrianópolis (PR);46,7;1,24;74,02;4316;2060;2409;14,22;19,35;37,03;20,51;7,14;45,47;72,05;8,68
Adustina (BA);61,36;0,09;68,07;10130;5572;5431;4,56;6,73;21,43;41,92;4,98;5,35;15,51;8,56
Afogados da Ingazeira (PE);29,45;0,11;73,39;7686;27402;14456;8,31;7,19;1,58;1,32;14,81;12,63;55,39;9,67
Afonso Bezerra (RN);37,81;1,11;67,76;5085;5759;3386;4,75;5,11;6,26;6,17;3,23;4,02;54,8;9,66
Afonso Cláudio (ES);54,03;0,7;74,51;15236;15855;15969;9,1;8,75;14,3;15,74;11,58;10,7;23,57;8,43
Afonso Cunha (MA);29,8;;68,48;2671;3234;1131;4,47;4,1;14,61;14,15;5,07;5,57;95,22;8,62
Afrânio (PE);50,78;0,07;70,68;11725;5861;6654;5,58;5,45;4,78;6,18;3,66;3,61;58,03;10,09
Afuá (PA);48,94;;71,43;25564;9478;9679;6,41;6,27;36,9;37,55;7,35;7,96;66,09;6,59
Agrestina (PE);36,93;;70,57;5722;16957;8254;6,4;5,97;12,58;14,75;5,1;5,73;3,09;8,78
Agricolândia (PI);40,51;;69,53;1496;3602;1676;3,79;4,07;9,29;13,79;5,98;5,25;95,53;9,98
Agrolândia (SC);23,01;;74,63;3364;5959;5420;20,19;16,27;11,45;15,01;40,82;31,15;41,43;10,65
Agronômica (SC);44,76;;78,06;3046;1858;2803;20,15;17,1;35,71;34,82;20,63;16,47;34,34;8,5
Água Azul do Norte (PA);54,82;;72,83;20181;4876;8791;9,66;10,41;38,89;38,02;22,7;24,79;43,88;7,48
