mun;ano;estabelecimentos
Mg-Abadia dos Dourados;2002;9
Mg-Abaete;2002;44
Mg-Abre Campo;2002;14
Mg-Acaiaca;2002;4
Mg-Acucena;2002;3
Mg-Agua Boa;2002;5
Mg-Agua Comprida;2002;3
Mg-Aguanil;2002;7
Mg-Aguas Formosas;2002;6
Mg-Aguas Vermelhas;2002;2
Mg-Aimores;2002;37
Mg-Aiuruoca;2002;8
Mg-Alagoa;2002;2
Mg-Albertina;2002;6
Mg-Alem Paraiba;2002;58
Mg-Alfenas;2002;142
Mg-Alfredo Vasconcelos;2002;5
Mg-Almenara;2002;28
Mg-Alpercata;2002;9
Mg-Alpinopolis;2002;42
Mg-Alterosa;2002;13
Mg-Alto Caparao;2002;3
Mg-Alto Rio Doce;2002;3
Mg-Alvarenga;2002;1
Mg-Alvinopolis;2002;20
Mg-Alvorada de Minas;2002;2
Mg-Amparo do Serra;2002;1
Mg-Andradas;2002;158
Mg-Cachoeira de Pajeu;2002;13
Mg-Andrelandia;2002;17
Mg-Angelandia;2002;2
Mg-Antonio Carlos;2002;15
Mg-Antonio Dias;2002;8
Mg-Antonio Prado de Minas;2002;2
Mg-Aracai;2002;5
Mg-Aracitaba;2002;0
Mg-Aracuai;2002;32
Mg-Araguari;2002;235
Mg-Arantina;2002;2
Mg-Araponga;2002;1
Mg-Arapora;2002;10
Mg-Arapua;2002;1
Mg-Araujos;2002;85
Mg-Araxa;2002;179
Mg-Arceburgo;2002;21
Mg-Arcos;2002;118
Mg-Areado;2002;20
Mg-Argirita;2002;5
Mg-Aricanduva;2002;1
Mg-Arinos;2002;13
Mg-Astolfo Dutra;2002;63
Mg-Ataleia;2002;6
Mg-Augusto de Lima;2002;5
Mg-Baependi;2002;51
Mg-Baldim;2002;16
Mg-Bambui;2002;35
Mg-Bandeira;2002;1
Mg-Bandeira do Sul;2002;6
Mg-Barao de Cocais;2002;34
Mg-Barao de Monte Alto;2002;6
Mg-Barbacena;2002;199
Mg-Barra Longa;2002;6
Mg-Barroso;2002;35
Mg-Bela Vista de Minas;2002;6
Mg-Belmiro Braga;2002;12
Mg-Belo Horizonte;2002;4927
Mg-Belo Oriente;2002;14
Mg-Belo Vale;2002;13
Mg-Berilo;2002;0
Mg-Bertopolis;2002;1
Mg-Berizal;2002;1
Mg-Betim;2002;505
Mg-Bias Fortes;2002;5
Mg-Bicas;2002;54
Mg-Biquinhas;2002;6
Mg-Boa Esperanca;2002;30
Mg-Bocaina de Minas;2002;6
Mg-Bocaiuva;2002;56
