mun;ano;analfabeto;ate5_incompleto;5completo;6a9fund;fund_completo;medio_incompleto;medio_completo;superior_incompleto;superior_completo;mestrado;doutorado;total
MG-ABADIA DOS DOURADOS;2006;23;76;346;109;404;140;247;7;33;0;0;1385
MG-ABAETE;2006;45;583;1644;845;545;286;910;115;296;1;0;5270
MG-ABRE CAMPO;2006;10;114;297;223;207;112;357;16;228;1;0;1565
MG-ACAIACA;2006;16;63;74;59;35;13;101;20;49;0;0;430
MG-ACUCENA;2006;6;121;52;93;80;46;271;1;70;0;0;740
MG-AGUA BOA;2006;102;352;39;108;154;109;254;8;40;0;0;1166
MG-AGUA COMPRIDA;2006;7;222;103;105;66;35;89;8;36;0;0;671
MG-AGUANIL;2006;9;77;197;317;190;55;136;16;79;0;0;1076
MG-AGUAS FORMOSAS;2006;57;206;161;95;171;80;528;8;25;1;0;1332
MG-AGUAS VERMELHAS;2006;25;195;156;107;43;28;264;0;39;0;0;857
MG-AIMORES;2006;82;338;572;611;563;265;1311;97;301;11;3;4154
MG-AIURUOCA;2006;11;152;249;114;83;36;179;21;85;0;0;930
MG-ALAGOA;2006;0;11;34;23;23;9;62;6;50;0;0;218
MG-ALBERTINA;2006;3;31;55;145;124;56;97;9;45;0;0;565
MG-ALEM PARAIBA;2006;104;406;948;952;1540;807;2017;242;610;0;0;7626
MG-ALFENAS;2006;159;2056;5995;3335;3528;2434;5036;491;2747;9;1;25791
MG-ALFREDO VASCONCELOS;2006;7;133;184;123;148;46;167;17;76;0;0;901
MG-ALMENARA;2006;149;465;292;859;554;340;1695;102;349;2;0;4807
MG-ALPERCATA;2006;29;217;78;138;220;114;405;24;61;0;0;1286
MG-ALPINOPOLIS;2006;26;236;617;724;534;259;659;60;234;0;0;3349
MG-ALTEROSA;2006;8;199;412;220;148;75;360;52;128;0;0;1602
MG-ALTO CAPARAO;2006;5;28;77;69;97;28;205;22;63;0;0;594
MG-ALTO RIO DOCE;2006;3;203;36;57;80;29;215;13;88;0;0;724
MG-ALVARENGA;2006;2;63;17;22;58;14;53;5;16;0;0;250
MG-ALVINOPOLIS;2006;21;209;686;356;287;139;802;15;124;0;0;2639
MG-ALVORADA DE MINAS;2006;5;33;79;38;37;10;85;1;27;0;0;315
MG-AMPARO DO SERRA;2006;3;25;113;59;82;67;135;5;33;0;0;522
MG-ANDRADAS;2006;112;610;1431;1670;1626;1110;2434;228;652;0;0;9873
MG-CACHOEIRA DE PAJEU;2006;22;93;253;241;63;72;255;7;31;0;0;1037
MG-ANDRELANDIA;2006;17;253;403;200;170;106;253;18;149;4;1;1574
MG-ANGELANDIA;2006;53;211;86;84;119;53;151;0;2;0;0;759
MG-ANTONIO CARLOS;2006;50;146;569;155;221;72;320;26;115;0;0;1674
MG-ANTONIO DIAS;2006;43;201;634;311;613;127;288;25;63;0;0;2305
MG-ANTONIO PRADO DE MINAS;2006;2;18;21;30;11;9;47;9;33;0;0;180
MG-ARACAI;2006;9;132;106;168;102;73;170;9;51;0;0;820
MG-ARACITABA;2006;2;76;20;21;53;14;64;14;17;0;0;281
MG-ARACUAI;2006;64;830;224;600;356;377;1595;83;271;0;0;4400
