UF;cod;mun;ano;IDEB
MG;3100104;Abadia dos Dourados;2005;4
MG;3100203;Abaeté;2005;3
MG;3100302;Abre Campo;2005;3,8
MG;3100401;Acaiaca;2005;4
MG;3100500;Açucena;2005;2,8
MG;3100609;Água Boa;2005;2,9
MG;3100708;Água Comprida;2005;3,3
MG;3100807;Aguanil;2005;2,7
MG;3100906;Águas Formosas;2005;3
MG;3101003;Águas Vermelhas;2005;3
MG;3101102;Aimorés;2005;3
MG;3101201;Aiuruoca;2005;4,4
MG;3101300;Alagoa;2005;4,4
MG;3101409;Albertina;2005;3,6
MG;3101508;Além Paraíba;2005;2,9
MG;3101607;Alfenas;2005;3,8
MG;3101631;Alfredo Vasconcelos;2005;4,3
MG;3101706;Almenara;2005;2,9
MG;3101805;Alpercata;2005;2,2
MG;3101904;Alpinópolis;2005;4,3
MG;3102001;Alterosa;2005;3,5
MG;3102050;Alto Caparaó;2005;3,4
MG;3102100;Alto Rio Doce;2005;3,8
MG;3102209;Alvarenga;2005;-
MG;3102308;Alvinópolis;2005;3,8
MG;3102407;Alvorada de Minas;2005;-
MG;3102506;Amparo do Serra;2005;2,8
MG;3102605;Andradas;2005;4,5
MG;3102704;Cachoeira de Pajeú;2005;3,2
MG;3102803;Andrelândia;2005;3,8
MG;3102852;Angelândia;2005;2,1
MG;3102902;Antônio Carlos;2005;4,1
MG;3103009;Antônio Dias;2005;3,2
MG;3103108;Antônio Prado de Minas;2005;-
MG;3103207;Araçaí;2005;3,5
MG;3103306;Aracitaba;2005;4,5
MG;3103405;Araçuaí;2005;3,1
MG;3103504;Araguari;2005;3,9
MG;3103603;Arantina;2005;4,1
MG;3103702;Araponga;2005;3,2
MG;3103751;Araporã;2005;3,2
MG;3103801;Arapuá;2005;4,3
MG;3103900;Araújos;2005;3,8
MG;3104007;Araxá;2005;4,3
MG;3104106;Arceburgo;2005;3,7
MG;3104205;Arcos;2005;4,4
MG;3104304;Areado;2005;4,4
MG;3104403;Argirita;2005;4,4
MG;3104452;Aricanduva;2005;2,8
MG;3104502;Arinos;2005;3,4
MG;3104601;Astolfo Dutra;2005;4,1
MG;3104700;Ataléia;2005;2,6
MG;3104809;Augusto de Lima;2005;3,9
MG;3104908;Baependi;2005;4,3
MG;3105004;Baldim;2005;-
MG;3105103;Bambuí;2005;3,4
MG;3105202;Bandeira;2005;2,4
MG;3105301;Bandeira do Sul;2005;3,7
MG;3105400;Barão de Cocais;2005;3,3
MG;3105509;Barão de Monte Alto;2005;2,7
MG;3105608;Barbacena;2005;4,1
MG;3105707;Barra Longa;2005;2,7
MG;3105905;Barroso;2005;3,2
MG;3106002;Bela Vista de Minas;2005;1,5
MG;3106101;Belmiro Braga;2005;1,9
MG;3106200;Belo Horizonte;2005;3,6
MG;3106309;Belo Oriente;2005;3,8
MG;3106408;Belo Vale;2005;2,9
MG;3106507;Berilo;2005;3,9
MG;3106606;Bertópolis;2005;-
MG;3106655;Berizal;2005;3,7
MG;3106705;Betim;2005;3,8
MG;3106804;Bias Fortes;2005;4,6
MG;3106903;Bicas;2005;4,1
MG;3107000;Biquinhas;2005;2,6
MG;3107109;Boa Esperança;2005;4
MG;3107208;Bocaina de Minas;2005;2,1
MG;3107307;Bocaiúva;2005;3,3
MG;3107406;Bom Despacho;2005;3,1
MG;3107505;Bom Jardim de Minas;2005;4,1
MG;3107604;Bom Jesus da Penha;2005;4,7
MG;3107703;Bom Jesus do Amparo;2005;3,7
MG;3107802;Bom Jesus do Galho;2005;2,9
MG;3107901;Bom Repouso;2005;3,3
MG;3108008;Bom Sucesso;2005;3,9
MG;3108107;Bonfim;2005;3,6
MG;3108206;Bonfinópolis de Minas;2005;3,3
MG;3108255;Bonito de Minas;2005;2,2
MG;3108305;Borda da Mata;2005;3,8
MG;3108404;Botelhos;2005;4,1
MG;3108503;Botumirim;2005;3
MG;3108552;Brasilândia de Minas;2005;3,3
MG;3108602;Brasília de Minas;2005;2,9
MG;3108701;Brás Pires;2005;3,4
MG;3108800;Braúnas;2005;3,4
MG;3108909;Brazópolis;2005;-
MG;3109006;Brumadinho;2005;3,9
MG;3109105;Bueno Brandão;2005;4,2
MG;3109204;Buenópolis;2005;3,8
MG;3109253;Bugre;2005;2,9
MG;3109303;Buritis;2005;3,5
MG;3109402;Buritizeiro;2005;3
MG;3109451;Cabeceira Grande;2005;-
MG;3109501;Cabo Verde;2005;4,1
MG;3109600;Cachoeira da Prata;2005;4,3
MG;3109709;Cachoeira de Minas;2005;4,5
MG;3109808;Cachoeira Dourada;2005;4,3
MG;3109907;Caetanópolis;2005;3,6
MG;3110004;Caeté;2005;4,4
MG;3110103;Caiana;2005;3,4
MG;3110202;Cajuri;2005;4,5
MG;3110301;Caldas;2005;4,5
MG;3110400;Camacho;2005;4,4
MG;3110509;Camanducaia;2005;3,8
MG;3110608;Cambuí;2005;3,9
MG;3110707;Cambuquira;2005;3,3
MG;3110806;Campanário;2005;1,7
MG;3110905;Campanha;2005;3,4
MG;3111002;Campestre;2005;3,4
MG;3111101;Campina Verde;2005;3,7
MG;3111150;Campo Azul;2005;3,3
MG;3111200;Campo Belo;2005;3,4
MG;3111309;Campo do Meio;2005;3,3
MG;3111408;Campo Florido;2005;4,3
MG;3111507;Campos Altos;2005;3,9
MG;3111606;Campos Gerais;2005;4,5
MG;3111705;Canaã;2005;3
MG;3111804;Canápolis;2005;3,1
MG;3111903;Cana Verde;2005;3,4
MG;3112000;Candeias;2005;3,4
MG;3112059;Cantagalo;2005;2,8
MG;3112109;Caparaó;2005;3,1
MG;3112208;Capela Nova;2005;3,8
MG;3112307;Capelinha;2005;3,1
MG;3112406;Capetinga;2005;4,1
MG;3112505;Capim Branco;2005;2,9
MG;3112604;Capinópolis;2005;3,5
MG;3112653;Capitão Andrade;2005;2,3
MG;3112703;Capitão Enéas;2005;2,9
MG;3112802;Capitólio;2005;4,5
MG;3112901;Caputira;2005;3
MG;3113008;Caraí;2005;2,6
MG;3113107;Caranaíba;2005;2,6
MG;3113206;Carandaí;2005;3,7
MG;3113305;Carangola;2005;3,3
MG;3113404;Caratinga;2005;3,2
MG;3113503;Carbonita;2005;3,5
MG;3113602;Careaçu;2005;3
MG;3113701;Carlos Chagas;2005;3
MG;3113800;Carmésia;2005;3,6
MG;3113909;Carmo da Cachoeira;2005;3,3
MG;3114006;Carmo da Mata;2005;3,5
MG;3114105;Carmo de Minas;2005;3,7
MG;3114204;Carmo do Cajuru;2005;3,5
MG;3114303;Carmo do Paranaíba;2005;3,7
MG;3114402;Carmo do Rio Claro;2005;4,5
MG;3114501;Carmópolis de Minas;2005;4,3
MG;3114550;Carneirinho;2005;3,8
