Tabela 1383 - Taxa de alfabetização das pessoas de 10 anos ou mais de idade por sexo;;;
Ano;Cód.;Microrregião Geográfica;taxa_alfab
2010;11001;Porto Velho (RO);94,1
2010;11002;Guajará-Mirim (RO);92,4
2010;11003;Ariquemes (RO);90,9
2010;11004;Ji-Paraná (RO);90,7
2010;11005;Alvorada D'Oeste (RO);89,8
2010;11006;Cacoal (RO);90,7
2010;11007;Vilhena (RO);92,9
2010;11008;Colorado do Oeste (RO);89,4
2010;12001;Cruzeiro do Sul (AC);79,4
2010;12002;Tarauacá (AC);70,4
2010;12003;Sena Madureira (AC);75,6
2010;12004;Rio Branco (AC);90
2010;12005;Brasiléia (AC);82,6
2010;13001;Rio Negro (AM);77,4
2010;13002;Japurá (AM);79,8
2010;13003;Alto Solimões (AM);79,1
2010;13004;Juruá (AM);69,3
2010;13005;Tefé (AM);85,5
2010;13006;Coari (AM);82,8
2010;13007;Manaus (AM);95,2
2010;13008;Rio Preto da Eva (AM);91,3
2010;13009;Itacoatiara (AM);90,6
2010;13010;Parintins (AM);92,3
2010;13011;Boca do Acre (AM);74,4
2010;13012;Purus (AM);72,7
2010;13013;Madeira (AM);84,7
2010;14001;Boa Vista (RR);92,1
2010;14002;Nordeste de Roraima (RR);85
2010;14003;Caracaraí (RR);83,2
2010;14004;Sudeste de Roraima (RR);88,1
2010;15001;Óbidos (PA);89,7
2010;15002;Santarém (PA);90,3
2010;15003;Almeirim (PA);82,4
2010;15004;Portel (PA);71,9
2010;15005;Furos de Breves (PA);76,1
2010;15006;Arari (PA);86,5
2010;15007;Belém (PA);96,3
2010;15008;Castanhal (PA);91,2
2010;15009;Salgado (PA);89,2
2010;15010;Bragantina (PA);83,1
2010;15011;Cametá (PA);86,7
2010;15012;Tomé-Açu (PA);83,4
2010;15013;Guamá (PA);78,9
2010;15014;Itaituba (PA);86
2010;15015;Altamira (PA);85,1
2010;15016;Tucuruí (PA);84,5
2010;15017;Paragominas (PA);84,8
2010;15018;São Félix do Xingu (PA);87,8
2010;15019;Parauapebas (PA);89,8
2010;15020;Marabá (PA);87,7
2010;15021;Redenção (PA);86,7
2010;15022;Conceição do Araguaia (PA);85,8
2010;16001;Oiapoque (AP);90,7
2010;16002;Amapá (AP);87,3
2010;16003;Macapá (AP);93
2010;16004;Mazagão (AP);86,9
2010;17001;Bico do Papagaio (TO);81
2010;17002;Araguaína (TO);88,5
2010;17003;Miracema do Tocantins (TO);86,4
2010;17004;Rio Formoso (TO);89,6
2010;17005;Gurupi (TO);90,9
2010;17006;Porto Nacional (TO);94,3
2010;17007;Jalapão (TO);80,9
2010;17008;Dianópolis (TO);83
2010;21001;Litoral Ocidental Maranhense (MA);80,8
2010;21002;Aglomeração Urbana de São Luís (MA);95
2010;21003;Rosário (MA);79,9
2010;21004;Lençóis Maranhenses (MA);75,7
2010;21005;Baixada Maranhense (MA);78,8
2010;21006;Itapecuru Mirim (MA);74
2010;21007;Gurupi (MA);77
2010;21008;Pindaré (MA);74,5
2010;21009;Imperatriz (MA);84,2
2010;21010;Médio Mearim (MA);74,6
2010;21011;Alto Mearim e Grajaú (MA);74,6
2010;21012;Presidente Dutra (MA);74,4
2010;21013;Baixo Parnaíba Maranhense (MA);70,2
2010;21014;Chapadinha (MA);73,4
2010;21015;Codó (MA);70,8
2010;21016;Coelho Neto (MA);70,6
2010;21017;Caxias (MA);77,1
2010;21018;Chapadas do Alto Itapecuru (MA);73,5
2010;21019;Porto Franco (MA);84,6
2010;21020;Gerais de Balsas (MA);86,1
2010;21021;Chapadas das Mangabeiras (MA);79,8
2010;22001;Baixo Parnaíba Piauiense (PI);70,2
2010;22002;Litoral Piauiense (PI);77,1
2010;22003;Teresina (PI);88,5
2010;22004;Campo Maior (PI);72,4
2010;22005;Médio Parnaíba Piauiense (PI);73,5
2010;22006;Valença do Piauí (PI);71,1
2010;22007;Alto Parnaíba Piauiense (PI);81,2
2010;22008;Bertolínia (PI);77,5
2010;22009;Floriano (PI);80,8
2010;22010;Alto Médio Gurguéia (PI);78,8
2010;22011;São Raimundo Nonato (PI);73,7
2010;22012;Chapadas do Extremo Sul Piauiense (PI);80,1
2010;22013;Picos (PI);76,6
2010;22014;Pio IX (PI);69,1
2010;22015;Alto Médio Canindé (PI);70,4
2010;23001;Litoral de Camocim e Acaraú (CE);73,9
2010;23002;Ibiapaba (CE);75,7
2010;23003;Coreaú (CE);68,7
2010;23004;Meruoca (CE);79,4
2010;23005;Sobral (CE);79,3
2010;23006;Ipu (CE);73,4
2010;23007;Santa Quitéria (CE);74,4
2010;23008;Itapipoca (CE);79
2010;23009;Baixo Curu (CE);81,9
2010;23010;Uruburetama (CE);77,7
2010;23011;Médio Curu (CE);76,6
2010;23012;Canindé (CE);76,2
2010;23013;Baturité (CE);77,5
2010;23014;Chorozinho (CE);74
2010;23015;Cascavel (CE);78,4
2010;23016;Fortaleza (CE);91,9
2010;23017;Pacajus (CE);84,5
2010;23018;Sertão de Cratéus (CE);73,3
2010;23019;Sertão de Quixeramobim (CE);75,8
2010;23020;Sertão de Inhamuns (CE);72,2
2010;23021;Sertão de Senador Pompeu (CE);71,6
2010;23022;Litoral de Aracati (CE);79,3
2010;23023;Baixo Jaguaribe (CE);78,1
2010;23024;Médio Jaguaribe (CE);75,8
2010;23025;Serra do Pereiro (CE);73,7
2010;23026;Iguatu (CE);74
2010;23027;Várzea Alegre (CE);72,3
2010;23028;Lavras da Mangabeira (CE);73,8
