Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes;;;;;;;;;;;;;;;;;
Nível;Cód.;Município;Produto das lavouras temporárias e permanentes x Ano x Variável;;;;;;;;;;;;;;
Nível;Cód.;Município;area_plantada14;area_colhida14;valor_prod14;area_plantada15;area_colhida15;valor_prod15;area_plantada16;area_colhida16;valor_prod16;area_plantada17;area_colhida17;valor_prod17;area_plantada18;area_colhida18;valor_prod18
MU;1100015;Alta Floresta D'Oeste (RO);21812;21812;71553;19546;19544;77929;19953;19895;102512;18288;18285;101470;17677;17676;103737
MU;1100023;Ariquemes (RO);6766;6766;21367;6985;6970;28058;6433;6418;32463;7470;7470;33729;9599;9599;41609
MU;1100031;Cabixi (RO);26439;26439;70933;31766;31765;81231;32107;29107;86786;41086;41084;107975;50179;50179;141058
MU;1100049;Cacoal (RO);17172;17172;67398;17428;17413;65923;17779;17743;92886;18180;18180;174665;15818;15782;125668
MU;1100056;Cerejeiras (RO);47952;44952;139534;48153;48153;120600;42744;41736;125405;52326;52298;150755;58200;58153;160500
MU;1100064;Colorado do Oeste (RO);7076;7076;26988;5632;5583;16974;5238;5237;19179;6268;6268;21765;5280;5280;19587
MU;1100072;Corumbiara (RO);62366;62366;168458;61233;61193;150447;58694;56649;161542;71742;71582;182267;58672;58672;158561
MU;1100080;Costa Marques (RO);1070;1070;2996;1256;1255;4393;492;491;3739;1395;852;5232;1473;1469;10087
MU;1100098;Espigão D'Oeste (RO);5887;5887;16544;5765;5765;17767;5303;5280;22304;5588;5588;35076;5275;5275;30240
MU;1100106;Guajará-Mirim (RO);717;468;5855;665;655;6298;661;646;17961;787;758;6764;753;749;7155
MU;1100114;Jaru (RO);4461;4441;34732;5646;5572;45703;4482;4434;70149;4043;4004;63969;3234;3199;67302
MU;1100122;Ji-Paraná (RO);3602;3602;18082;2775;2755;13617;2686;2668;23790;2588;2540;22554;787;783;9011
MU;1100130;Machadinho D'Oeste (RO);20027;19548;82273;20437;20139;87873;17847;17833;133300;16636;16586;128309;16376;16350;119230
MU;1100148;Nova Brasilândia D'Oeste (RO);7083;7083;28695;6335;6335;32993;6179;6174;46907;5955;5955;58962;6366;6364;45452
MU;1100155;Ouro Preto do Oeste (RO);2443;2443;7183;2381;2381;6598;2140;2125;11864;1811;1786;11184;1348;1339;10107
MU;1100189;Pimenta Bueno (RO);1167;1167;10580;1511;1509;11810;2469;2466;16019;2601;2597;16980;2025;2025;16084
MU;1100205;Porto Velho (RO);20790;20723;124216;30750;30243;163410;40474;40364;285192;48577;48532;334538;44187;44137;311452
MU;1100254;Presidente Médici (RO);1976;1976;9753;1551;1540;10109;1296;1285;13109;1538;1526;15406;1078;1078;6058
MU;1100262;Rio Crespo (RO);13213;13213;35908;15337;15310;38418;16810;16805;56395;19416;19389;59655;21088;21084;70220
MU;1100288;Rolim de Moura (RO);6806;6806;37210;6136;6136;21084;6939;6933;37758;8441;8435;54164;5628;5608;37360
MU;1100296;Santa Luzia D'Oeste (RO);4339;4339;66624;2432;2432;22551;3840;3839;37574;3761;3761;33486;2248;2248;8671
MU;1100304;Vilhena (RO);79072;79072;201568;90905;90905;218804;100668;100654;301917;111745;111719;288688;89877;89874;234890
MU;1100320;São Miguel do Guaporé (RO);24865;24865;65191;29921;29921;79260;25886;25886;90709;29184;28953;237191;27921;27919;255252
MU;1100338;Nova Mamoré (RO);3030;2670;37662;2787;2653;29180;3143;3118;27271;3396;3369;45770;2977;2954;78897
MU;1100346;Alvorada D'Oeste (RO);4212;4212;16300;3980;3980;14936;3099;3072;17901;2556;2554;19512;2364;2357;17882
MU;1100379;Alto Alegre dos Parecis (RO);21444;21444;70658;23996;23987;60151;23860;23799;77812;23049;23028;162436;23085;23058;105782
MU;1100403;Alto Paraíso (RO);5508;5508;16166;5544;5541;12693;16977;8608;31372;9830;9764;42607;12828;12803;60385
MU;1100452;Buritis (RO);5816;5816;40259;5717;5666;38449;5725;5679;63156;5577;5537;89096;6092;6052;87538
MU;1100502;Novo Horizonte do Oeste (RO);3616;3616;11440;3559;3559;13424;3198;3198;15149;4742;4717;32285;4714;4714;25411
MU;1100601;Cacaulândia (RO);2637;2622;20126;1705;1705;10798;1514;1514;20331;1335;1335;21209;896;896;14941
MU;1100700;Campo Novo de Rondônia (RO);4382;4382;18158;3022;2981;26452;2497;2496;13013;2002;1994;14898;2153;2153;17266
MU;1100809;Candeias do Jamari (RO);3374;3174;29391;6874;6850;38046;5089;5075;38307;9027;9016;45277;7828;7763;42814
MU;1100908;Castanheiras (RO);3596;3596;11476;4431;4431;13694;4435;4435;16686;4349;4349;16660;4120;4119;16439
MU;1100924;Chupinguaia (RO);43814;43814;108393;43290;43288;102753;39316;39311;124869;40312;40280;115828;40478;40471;152749
MU;1100940;Cujubim (RO);7141;7071;25587;5745;5735;32978;9333;9276;42896;11541;11289;37172;11965;11901;46315
MU;1101005;Governador Jorge Teixeira (RO);2363;2323;6325;2383;2311;8330;1696;1666;11838;1841;1790;17234;1858;1828;27663
MU;1101104;Itapuã do Oeste (RO);3104;3019;10405;2473;2402;10949;3871;3821;17738;3809;3423;17069;3747;3726;14541
MU;1101203;Ministro Andreazza (RO);6436;6436;28596;6413;6411;26923;6317;6310;40450;6284;6278;64002;6285;6277;49046
MU;1101302;Mirante da Serra (RO);6277;6277;25668;6214;6194;26392;5840;5820;24623;5867;5846;28552;3382;3381;17613
MU;1101401;Monte Negro (RO);3512;3507;23687;2704;2704;25614;1644;1622;16646;1387;1386;15839;1033;1033;18427
MU;1101435;Nova União (RO);2503;2423;6181;2129;2129;5435;1749;1749;6907;1945;1930;10208;1026;1021;5725
MU;1101450;Parecis (RO);1652;1652;3247;867;854;4106;507;494;3665;2211;2205;7551;2169;2169;6625
MU;1101468;Pimenteiras do Oeste (RO);33447;33447;87477;41280;41280;97074;41386;38386;105181;41272;41272;110291;52096;52096;143942
MU;1101476;Primavera de Rondônia (RO);969;968;6400;883;883;3821;944;944;5602;829;828;7551;820;820;5963
MU;1101484;São Felipe D'Oeste (RO);4187;4187;9291;2935;2935;7630;2655;2655;9978;2229;2227;9234;1813;1812;7137
MU;1101492;São Francisco do Guaporé (RO);2029;2029;7056;1951;1950;6742;3210;3209;11474;3679;3611;12379;4690;4690;15367
MU;1101500;Seringueiras (RO);5843;5843;19417;9407;9287;26429;7731;7731;28691;8563;8355;42676;7277;7277;29464
MU;1101559;Teixeirópolis (RO);635;635;2251;614;613;3200;897;896;7834;674;669;4160;326;326;6561
MU;1101609;Theobroma (RO);2674;2674;10307;2731;2722;13967;3361;3350;29121;2980;2974;26971;2924;2924;22135
MU;1101708;Urupá (RO);3159;3159;7072;2553;2552;6818;2109;2108;10120;2032;2032;9770;739;739;5718
MU;1101757;Vale do Anari (RO);2114;2114;11687;1937;1937;11816;1993;1945;17070;1907;1871;13654;1970;1895;13676
MU;1101807;Vale do Paraíso (RO);1163;1163;4298;953;953;3063;1064;1049;6949;1021;1021;7056;640;640;3967
MU;1200013;Acrelândia (AC);7400;7055;36935;7290;6784;43199;6259;6249;47793;5807;5027;31152;4731;4311;28078
MU;1200054;Assis Brasil (AC);2395;2303;10357;2430;2102;8188;2073;2073;11712;2166;2166;9847;1900;1876;8694
MU;1200104;Brasiléia (AC);4325;4294;17691;4330;4305;17307;3650;3592;17742;3830;3774;17679;3760;3707;16089
MU;1200138;Bujari (AC);4452;4272;19872;5463;4931;28087;5039;4968;30232;4654;4583;23834;3709;3515;19392
MU;1200179;Capixaba (AC);8329;8162;36363;7773;7068;34297;6719;6649;33925;6366;4674;28768;4261;4199;25556
MU;1200203;Cruzeiro do Sul (AC);8175;7938;47366;6682;6016;25899;5776;5776;26529;5437;5292;25203;4947;4730;29512
MU;1200252;Epitaciolândia (AC);4210;4191;18197;4135;3617;17490;3758;3758;19380;3481;3481;18286;3641;3577;17873
MU;1200302;Feijó (AC);7203;6997;43179;7686;7681;44564;8481;8396;49287;8337;8337;41276;7242;7019;36323
MU;1200328;Jordão (AC);1343;1332;8260;1594;1589;11081;1744;1741;11185;1725;1725;10898;1176;1137;6964
MU;1200336;Mâncio Lima (AC);5006;4938;41822;5124;5124;27311;5255;5255;26004;4300;4300;23924;3430;3413;21497
MU;1200344;Manoel Urbano (AC);2911;2871;14505;2440;2166;10980;2161;2030;9398;1990;1990;9291;1798;1697;8515
MU;1200351;Marechal Thaumaturgo (AC);4939;4428;25836;4559;4489;18939;4946;4946;22162;4581;4581;25351;3796;3793;20799
MU;1200385;Plácido de Castro (AC);5074;4839;21642;4600;4463;22878;3457;3457;21110;3199;3197;18167;3058;2978;18452
MU;1200393;Porto Walter (AC);2294;2176;13171;2271;2271;9534;2496;2496;10088;1988;1968;9414;1438;1436;6493
MU;1200401;Rio Branco (AC);7838;6030;26146;7555;5275;22259;5878;5878;30655;5980;5978;27782;5377;5272;27738
MU;1200427;Rodrigues Alves (AC);6160;5817;40129;6089;6029;28826;6408;6408;29622;4574;4574;23494;3483;3463;21343
MU;1200435;Santa Rosa do Purus (AC);738;733;4525;773;769;5605;841;841;5675;914;914;5867;890;849;5137
MU;1200450;Senador Guiomard (AC);7192;6883;31325;6385;6339;29977;6049;5844;29127;5708;5531;28352;4979;4615;26315
MU;1200500;Sena Madureira (AC);14426;14157;101473;10980;9722;57605;7948;7944;49597;7453;7453;43054;6061;5875;29056
MU;1200609;Tarauacá (AC);6794;6333;36800;7125;6924;39327;8790;8715;49923;8482;8482;48120;7356;7242;44020
MU;1200708;Xapuri (AC);4683;4538;20654;4568;4055;14818;3690;3668;14555;3695;3670;14006;3678;3628;13931
MU;1200807;Porto Acre (AC);7624;7381;43883;6735;5880;31429;5876;5854;33972;5876;5856;31005;4619;4504;25668
MU;1300029;Alvarães (AM);681;378;4335;474;443;5263;5378;5378;48949;5605;5605;47248;5366;5363;43347
MU;1300060;Amaturá (AM);95;81;834;361;153;1489;438;121;1415;594;564;8897;374;374;5518
MU;1300086;Anamã (AM);590;415;1504;724;313;777;649;407;2984;404;401;3276;511;471;4603
MU;1300102;Anori (AM);743;738;3726;745;403;1456;443;200;4858;565;483;3318;571;521;3871
MU;1300144;Apuí (AM);3141;2880;13629;3855;3794;20855;1179;1178;10358;1235;1204;9753;1617;1603;12149
MU;1300201;Atalaia do Norte (AM);813;813;8149;1104;1018;18817;520;506;20543;470;463;12929;424;403;9932
MU;1300300;Autazes (AM);2375;1199;12066;2445;2435;27032;4370;4292;43860;5406;5328;46967;5475;5445;38434
MU;1300409;Barcelos (AM);191;177;3688;482;456;6822;576;553;11292;282;242;5372;105;95;2130
MU;1300508;Barreirinha (AM);639;634;4195;396;391;2744;352;342;2212;317;317;2393;119;109;1065
MU;1300607;Benjamin Constant (AM);1125;920;7203;717;195;1931;1205;1197;18731;592;547;6558;792;485;11626
MU;1300631;Beruri (AM);940;940;10925;683;683;10954;702;603;5449;640;382;2505;107;103;197
MU;1300680;Boa Vista do Ramos (AM);646;624;1272;552;533;1343;445;415;2988;647;647;4632;106;101;1175
MU;1300706;Boca do Acre (AM);1842;1555;10549;1561;1561;11079;1253;1203;6528;1293;1293;6868;1354;1334;8679
MU;1300805;Borba (AM);1970;1310;8989;1484;918;8242;1576;1163;12925;1301;1070;9407;1097;1097;9229
MU;1300839;Caapiranga (AM);494;494;3469;418;315;4030;390;296;6165;154;80;1145;541;517;5766
MU;1300904;Canutama (AM);60;55;2217;49;49;1016;177;175;2692;177;175;2772;184;172;2029
MU;1301001;Carauari (AM);916;912;6352;783;783;12176;825;825;8469;1221;1214;11783;1020;1014;9870
MU;1301100;Careiro (AM);1493;1491;13713;1914;1909;24478;1127;1124;13453;1078;1076;17997;1183;1183;25809
MU;1301159;Careiro da Várzea (AM);554;534;7710;443;391;6859;368;368;11338;643;643;20080;731;731;14490
MU;1301209;Coari (AM);1212;1139;5860;2266;1525;8308;1775;1729;17657;1467;1426;8805;1590;1558;9365
MU;1301308;Codajás (AM);2100;1719;30715;513;261;2827;429;375;11018;5465;4682;83003;5090;5045;88830
MU;1301407;Eirunepé (AM);1204;1204;4815;1216;1216;6704;1329;1329;8428;1906;1906;13167;3717;3717;26575
MU;1301506;Envira (AM);2107;2107;20950;1812;1812;16348;2261;2259;22479;2036;2036;19497;1830;1830;17559
MU;1301605;Fonte Boa (AM);789;759;4849;748;728;5207;380;360;4297;318;315;3937;311;307;3543
MU;1301654;Guajará (AM);1668;1657;8486;2201;2182;9740;987;987;11964;589;582;6421;564;564;7959
MU;1301704;Humaitá (AM);2356;2356;10255;2151;2151;23855;3191;3178;40802;3753;3739;47463;4131;4127;54326
MU;1301803;Ipixuna (AM);424;358;1663;309;309;1563;224;219;2003;268;195;2730;204;204;1959
MU;1301852;Iranduba (AM);1438;1426;32695;1340;1333;34019;1311;1265;31924;1764;1764;44460;2810;2770;42711
MU;1301902;Itacoatiara (AM);2870;2830;80737;5730;5630;121513;7044;7000;240428;3587;3557;147577;4634;4549;134313
MU;1301951;Itamarati (AM);295;295;2777;415;414;4944;69;69;874;61;59;562;61;59;499
MU;1302009;Itapiranga (AM);551;551;8506;518;513;9872;592;570;9714;788;573;9661;662;409;4919
MU;1302108;Japurá (AM);308;307;3460;301;294;4493;411;411;6019;420;420;6789;432;413;5274
MU;1302207;Juruá (AM);301;261;2739;181;177;4324;101;99;2228;135;133;1275;133;128;1030
MU;1302306;Jutaí (AM);2017;1961;13260;2146;1950;14889;1490;1473;12597;1399;1399;12440;1341;1337;11671
MU;1302405;Lábrea (AM);1357;1287;11293;1079;1003;9615;1037;1032;8561;1072;1043;9544;702;444;8748
MU;1302504;Manacapuru (AM);23639;23639;245716;23375;22312;234163;16208;16124;268930;21792;21751;406607;16456;16416;348345
MU;1302553;Manaquiri (AM);647;642;11580;1813;1798;24748;1555;1540;20385;1587;1587;20500;1612;1612;25881
MU;1302603;Manaus (AM);620;601;10617;670;551;13207;859;627;19560;890;876;25198;580;579;15572
