Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010;;;;;;;;;
Ano;Cód.;Microrregião Geográfica;Produto Interno Bruto a preços correntes (Mil Reais);Participação do produto interno bruto a preços correntes no produto interno bruto a preços correntes da microrregião geográfica (%);Participação do produto interno bruto a preços correntes no produto interno bruto a preços correntes da mesorregião geográfica (%);Participação do valor adicionado bruto a preços correntes da agropecuária no valor adicionado bruto a preços correntes total (%);Participação do valor adicionado bruto a preços correntes da indústria no valor adicionado bruto a preços correntes total (%);Participação do valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social, no valor adicionado bruto a preços correntes total (%);Participação do valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social no valor adicionado bruto a preços correntes total (%)
2002;11001;Porto Velho (RO);2642541;-;91,01;4,15;21,51;44,37;29,97
2002;11002;Guajará-Mirim (RO);261102;-;8,99;7,65;9,81;38,72;43,82
2002;11003;Ariquemes (RO);695703;-;15,24;13,05;19,18;32,46;35,32
2002;11004;Ji-Paraná (RO);1509405;-;33,07;13,09;15,74;35,66;35,52
2002;11005;Alvorada D'Oeste (RO);246055;-;5,39;21,46;7,6;20,26;50,68
2002;11006;Cacoal (RO);1131259;-;24,79;14,92;17,7;32,68;34,71
2002;11007;Vilhena (RO);723396;-;15,85;12,32;19,16;39,6;28,92
2002;11008;Colorado do Oeste (RO);258169;-;5,66;26,34;9,2;25,97;38,49
2002;12001;Cruzeiro do Sul (AC);363109;-;68,64;11,6;7,82;29,08;51,5
2002;12002;Tarauacá (AC);165920;-;31,36;15,54;5,4;15,19;63,87
2002;12003;Sena Madureira (AC);154357;-;6,32;30,97;6,79;16,18;46,06
2002;12004;Rio Branco (AC);2106263;-;86,24;6,61;15,59;46,31;31,49
2002;12005;Brasiléia (AC);181652;-;7,44;26,29;6,57;21,63;45,5
2002;13001;Rio Negro (AM);128793;-;74,59;8,43;4,38;22,69;64,5
2002;13002;Japurá (AM);43868;-;25,41;19,27;3,38;8,36;68,99
2002;13003;Alto Solimões (AM);377938;-;60,69;21,28;4,1;15,63;58,99
2002;13004;Juruá (AM);244788;-;39,31;25,45;5,68;15,6;53,27
2002;13005;Tefé (AM);245626;-;1,18;41,2;4,09;17,17;37,54
2002;13006;Coari (AM);1033093;-;4,97;10,41;61,44;13,57;14,57
2002;13007;Manaus (AM);18516657;-;89;3,04;47,54;36,57;12,85
2002;13008;Rio Preto da Eva (AM);159913;-;0,77;35,65;10,86;18,65;34,83
2002;13009;Itacoatiara (AM);362085;-;1,74;32,03;7,06;21,1;39,81
2002;13010;Parintins (AM);487418;-;2,34;28,92;4,83;19,1;47,15
