Tabela 6579 - População residente estimada;;;
Ano;Cód.;Município;População residente estimada (Pessoas)
2002;1100015;Alta Floresta D'Oeste (RO);27237
2002;1100023;Ariquemes (RO);78039
2002;1100031;Cabixi (RO);7490
2002;1100049;Cacoal (RO);74381
2002;1100056;Cerejeiras (RO);17925
2002;1100064;Colorado do Oeste (RO);20881
2002;1100072;Corumbiara (RO);10160
2002;1100080;Costa Marques (RO);9919
2002;1100098;Espigão D'Oeste (RO);26221
2002;1100106;Guajará-Mirim (RO);39194
2002;1100114;Jaru (RO);54352
2002;1100122;Ji-Paraná (RO);108694
2002;1100130;Machadinho D'Oeste (RO);24724
2002;1100148;Nova Brasilândia D'Oeste (RO);17334
2002;1100155;Ouro Preto do Oeste (RO);40841
2002;1100189;Pimenta Bueno (RO);31656
2002;1100205;Porto Velho (RO);347844
2002;1100254;Presidente Médici (RO);26065
2002;1100262;Rio Crespo (RO);3127
2002;1100288;Rolim de Moura (RO);48101
2002;1100296;Santa Luzia D'Oeste (RO);11450
2002;1100304;Vilhena (RO);57074
2002;1100320;São Miguel do Guaporé (RO);25959
2002;1100338;Nova Mamoré (RO);16362
2002;1100346;Alvorada D'Oeste (RO);19750
2002;1100379;Alto Alegre dos Parecis (RO);13490
2002;1100403;Alto Paraíso (RO);14084
2002;1100452;Buritis (RO);30521
2002;1100502;Novo Horizonte do Oeste (RO);12458
2002;1100601;Cacaulândia (RO);5398
2002;1100700;Campo Novo de Rondônia (RO);13500
2002;1100809;Candeias do Jamari (RO);14314
2002;1100908;Castanheiras (RO);4178
2002;1100924;Chupinguaia (RO);5842
2002;1100940;Cujubim (RO);7305
2002;1101005;Governador Jorge Teixeira (RO);15106
2002;1101104;Itapuã do Oeste (RO);7356
2002;1101203;Ministro Andreazza (RO);11308
2002;1101302;Mirante da Serra (RO);13438
2002;1101401;Monte Negro (RO);13838
2002;1101435;Nova União (RO);8601
2002;1101450;Parecis (RO);3503
2002;1101468;Pimenteiras do Oeste (RO);2557
2002;1101476;Primavera de Rondônia (RO);4334
2002;1101484;São Felipe D'Oeste (RO);7116
2002;1101492;São Francisco do Guaporé (RO);13636
2002;1101500;Seringueiras (RO);12987
2002;1101559;Teixeirópolis (RO);5697
2002;1101609;Theobroma (RO);12047
2002;1101708;Urupá (RO);15700
2002;1101757;Vale do Anari (RO);8655
2002;1101807;Vale do Paraíso (RO);10028
2002;1200013;Acrelândia (AC);8454
2002;1200054;Assis Brasil (AC);3611
2002;1200104;Brasiléia (AC);17649
2002;1200138;Bujari (AC);6382
2002;1200179;Capixaba (AC);5814
2002;1200203;Cruzeiro do Sul (AC);71571
2002;1200252;Epitaciolândia (AC);11785
2002;1200302;Feijó (AC);28606
2002;1200328;Jordão (AC);4505
2002;1200336;Mâncio Lima (AC);11779
2002;1200344;Manoel Urbano (AC);6737
2002;1200351;Marechal Thaumaturgo (AC);8341
2002;1200385;Plácido de Castro (AC);15759
2002;1200393;Porto Walter (AC);5283
2002;1200401;Rio Branco (AC);267740
2002;1200427;Rodrigues Alves (AC);8398
2002;1200435;Santa Rosa do Purus (AC);2576
2002;1200450;Senador Guiomard (AC);20726
2002;1200500;Sena Madureira (AC);30519
2002;1200609;Tarauacá (AC);26582
2002;1200708;Xapuri (AC);12230
2002;1200807;Porto Acre (AC);11895
2002;1300029;Alvarães (AM);12921
2002;1300060;Amaturá (AM);7849
2002;1300086;Anamã (AM);6676
2002;1300102;Anori (AM);11810
2002;1300144;Apuí (AM);15575
2002;1300201;Atalaia do Norte (AM);10482
2002;1300300;Autazes (AM);25868
2002;1300409;Barcelos (AM);26966
2002;1300508;Barreirinha (AM);23897
2002;1300607;Benjamin Constant (AM);24251
2002;1300631;Beruri (AM);11796
2002;1300680;Boa Vista do Ramos (AM);11109
2002;1300706;Boca do Acre (AM);27370
2002;1300805;Borba (AM);31018
2002;1300839;Caapiranga (AM);9218
2002;1300904;Canutama (AM);10439
2002;1301001;Carauari (AM);24289
2002;1301100;Careiro (AM);26657
2002;1301159;Careiro da Várzea (AM);17079
2002;1301209;Coari (AM);73075
2002;1301308;Codajás (AM);18358
2002;1301407;Eirunepé (AM);27274
2002;1301506;Envira (AM);19633
2002;1301605;Fonte Boa (AM);34679
2002;1301654;Guajará (AM);13583
2002;1301704;Humaitá (AM);31534
2002;1301803;Ipixuna (AM);15833
2002;1301852;Iranduba (AM);35128
2002;1301902;Itacoatiara (AM);74914
2002;1301951;Itamarati (AM);8263
2002;1302009;Itapiranga (AM);7766
2002;1302108;Japurá (AM);10181
2002;1302207;Juruá (AM);6908
2002;1302306;Jutaí (AM);24101
2002;1302405;Lábrea (AM);28094
2002;1302504;Manacapuru (AM);77171
2002;1302553;Manaquiri (AM);13130
2002;1302603;Manaus (AM);1488805
2002;1302702;Manicoré (AM);38076
2002;1302801;Maraã (AM);18182
2002;1302900;Maués (AM);42043
2002;1303007;Nhamundá (AM);15798
2002;1303106;Nova Olinda do Norte (AM);25992
2002;1303205;Novo Airão (AM);8731
2002;1303304;Novo Aripuanã (AM);18273
2002;1303403;Parintins (AM);96750
2002;1303502;Pauini (AM);17104
2002;1303536;Presidente Figueiredo (AM);19562
2002;1303569;Rio Preto da Eva (AM);19910
2002;1303601;Santa Isabel do Rio Negro (AM);9538
2002;1303700;Santo Antônio do Içá (AM);30527
2002;1303809;São Gabriel da Cachoeira (AM);31379
2002;1303908;São Paulo de Olivença (AM);25110
2002;1303957;São Sebastião do Uatumã (AM);7711
2002;1304005;Silves (AM);8223
2002;1304062;Tabatinga (AM);40022
2002;1304104;Tapauá (AM);19587
2002;1304203;Tefé (AM);66664
2002;1304237;Tonantins (AM);16665
2002;1304260;Uarini (AM);11274
2002;1304302;Urucará (AM);19854
2002;1304401;Urucurituba (AM);11126
2002;1400027;Amajari (RR);5560
2002;1400050;Alto Alegre (RR);19316
2002;1400100;Boa Vista (RR);214541
2002;1400159;Bonfim (RR);10434
2002;1400175;Cantá (RR);9213
2002;1400209;Caracaraí (RR);15448
2002;1400233;Caroebe (RR);5752
2002;1400282;Iracema (RR);5211
2002;1400308;Mucajaí (RR);11382
2002;1400407;Normandia (RR);5868
2002;1400456;Pacaraima (RR);7401
2002;1400472;Rorainópolis (RR);19819
2002;1400506;São João da Baliza (RR);5206
2002;1400605;São Luiz (RR);5707
2002;1400704;Uiramutã (RR);6013
2002;1500107;Abaetetuba (PA);123184
2002;1500131;Abel Figueiredo (PA);6291
2002;1500206;Acará (PA);55270
2002;1500305;Afuá (PA);31503
2002;1500347;Água Azul do Norte (PA);25291
2002;1500404;Alenquer (PA);41190
2002;1500503;Almeirim (PA);34065
2002;1500602;Altamira (PA);79776
2002;1500701;Anajás (PA);19172
2002;1500800;Ananindeua (PA);423325
2002;1500859;Anapu (PA);8558
2002;1500909;Augusto Corrêa (PA);33577
2002;1500958;Aurora do Pará (PA);21278
2002;1501006;Aveiro (PA);16495
2002;1501105;Bagre (PA);13679
2002;1501204;Baião (PA);21339
2002;1501253;Bannach (PA);3656
2002;1501303;Barcarena (PA);66913
2002;1501402;Belém (PA);1322683
2002;1501451;Belterra (PA);15467
2002;1501501;Benevides (PA);38458
2002;1501576;Bom Jesus do Tocantins (PA);13426
2002;1501600;Bonito (PA);10084
2002;1501709;Bragança (PA);96618
2002;1501725;Brasil Novo (PA);18387
2002;1501758;Brejo Grande do Araguaia (PA);7686
2002;1501782;Breu Branco (PA);36376
2002;1501808;Breves (PA);81845
2002;1501907;Bujaru (PA);22487
2002;1501956;Cachoeira do Piriá (PA);16952
2002;1502004;Cachoeira do Arari (PA);16317
2002;1502103;Cametá (PA);100241
2002;1502152;Canaã dos Carajás (PA);11761
2002;1502202;Capanema (PA);58372
2002;1502301;Capitão Poço (PA);50677
2002;1502400;Castanhal (PA);141318
2002;1502509;Chaves (PA);17339
2002;1502608;Colares (PA);11115
2002;1502707;Conceição do Araguaia (PA);43668
2002;1502756;Concórdia do Pará (PA);22157
2002;1502764;Cumaru do Norte (PA);6043
2002;1502772;Curionópolis (PA);17863
2002;1502806;Curralinho (PA);21028
2002;1502855;Curuá (PA);9429
2002;1502905;Curuçá (PA);27351
2002;1502939;Dom Eliseu (PA);42720
2002;1502954;Eldorado do Carajás (PA);33424
2002;1503002;Faro (PA);11462
2002;1503044;Floresta do Araguaia (PA);14585
2002;1503077;Garrafão do Norte (PA);25010
2002;1503093;Goianésia do Pará (PA);25135
2002;1503101;Gurupá (PA);23967
2002;1503200;Igarapé-Açu (PA);33472
2002;1503309;Igarapé-Miri (PA);54868
2002;1503408;Inhangapi (PA);7894
2002;1503457;Ipixuna do Pará (PA);28473
2002;1503507;Irituia (PA);30393
2002;1503606;Itaituba (PA);95252
2002;1503705;Itupiranga (PA);54088
2002;1503754;Jacareacanga (PA);27058
2002;1503804;Jacundá (PA);42773
2002;1503903;Juruti (PA);32868
2002;1504000;Limoeiro do Ajuru (PA);20214
2002;1504059;Mãe do Rio (PA);24562
2002;1504109;Magalhães Barata (PA);7769
2002;1504208;Marabá (PA);177352
2002;1504307;Maracanã (PA);27991
2002;1504406;Marapanim (PA);25692
2002;1504422;Marituba (PA);82095
2002;1504455;Medicilândia (PA);21735
2002;1504505;Melgaço (PA);22437
2002;1504604;Mocajuba (PA);20972
2002;1504703;Moju (PA);55583
