Tabela 793 - População residente;;;
Variável - População residente (Pessoas);;;
ano;cod;mun;pop
2007;1100015;Alta Floresta D'Oeste (RO);23857
2007;1100023;Ariquemes (RO);82388
2007;1100031;Cabixi (RO);6575
2007;1100049;Cacoal (RO);76155
2007;1100056;Cerejeiras (RO);16290
2007;1100064;Colorado do Oeste (RO);17644
2007;1100072;Corumbiara (RO);9476
2007;1100080;Costa Marques (RO);13664
2007;1100098;Espigão D'Oeste (RO);27867
2007;1100106;Guajará-Mirim (RO);39451
2007;1100114;Jaru (RO);52453
2007;1100122;Ji-Paraná (RO);107679
2007;1100130;Machadinho D'Oeste (RO);31475
2007;1100148;Nova Brasilândia D'Oeste (RO);17170
2007;1100155;Ouro Preto do Oeste (RO);36040
2007;1100189;Pimenta Bueno (RO);32893
2007;1100205;Porto Velho (RO);369345
2007;1100254;Presidente Médici (RO);22197
2007;1100262;Rio Crespo (RO);3174
2007;1100288;Rolim de Moura (RO);48894
2007;1100296;Santa Luzia D'Oeste (RO);9264
2007;1100304;Vilhena (RO);66746
2007;1100320;São Miguel do Guaporé (RO);22622
2007;1100338;Nova Mamoré (RO);21162
2007;1100346;Alvorada D'Oeste (RO);16485
2007;1100379;Alto Alegre dos Parecis (RO);11615
2007;1100403;Alto Paraíso (RO);16758
2007;1100452;Buritis (RO);33072
2007;1100502;Novo Horizonte do Oeste (RO);9648
2007;1100601;Cacaulândia (RO);5553
2007;1100700;Campo Novo de Rondônia (RO);12455
2007;1100809;Candeias do Jamari (RO);16736
2007;1100908;Castanheiras (RO);3624
2007;1100924;Chupinguaia (RO);7456
2007;1100940;Cujubim (RO);13857
2007;1101005;Governador Jorge Teixeira (RO);11432
2007;1101104;Itapuã do Oeste (RO);7905
2007;1101203;Ministro Andreazza (RO);10343
2007;1101302;Mirante da Serra (RO);12086
2007;1101401;Monte Negro (RO);12357
2007;1101435;Nova União (RO);7750
2007;1101450;Parecis (RO);4583
2007;1101468;Pimenteiras do Oeste (RO);2358
2007;1101476;Primavera de Rondônia (RO);3704
2007;1101484;São Felipe D'Oeste (RO);6286
2007;1101492;São Francisco do Guaporé (RO);15710
2007;1101500;Seringueiras (RO);11757
2007;1101559;Teixeirópolis (RO);4919
2007;1101609;Theobroma (RO);9952
2007;1101708;Urupá (RO);13381
2007;1101757;Vale do Anari (RO);8751
2007;1101807;Vale do Paraíso (RO);8742
2007;1200013;Acrelândia (AC);11520
2007;1200054;Assis Brasil (AC);5351
2007;1200104;Brasiléia (AC);19065
2007;1200138;Bujari (AC);6543
2007;1200179;Capixaba (AC);8446
2007;1200203;Cruzeiro do Sul (AC);73948
2007;1200252;Epitaciolândia (AC);13434
2007;1200302;Feijó (AC);31288
2007;1200328;Jordão (AC);6059
2007;1200336;Mâncio Lima (AC);13785
2007;1200344;Manoel Urbano (AC);7148
2007;1200351;Marechal Thaumaturgo (AC);13061
2007;1200385;Plácido de Castro (AC);17258
2007;1200393;Porto Walter (AC);8170
2007;1200401;Rio Branco (AC);290639
2007;1200427;Rodrigues Alves (AC);12428
2007;1200435;Santa Rosa do Purus (AC);3948
2007;1200450;Senador Guiomard (AC);18863
2007;1200500;Sena Madureira (AC);34230
2007;1200609;Tarauacá (AC);32171
2007;1200708;Xapuri (AC);14314
2007;1200807;Porto Acre (AC);13716
2007;1300029;Alvarães (AM);13010
2007;1300060;Amaturá (AM);8384
2007;1300086;Anamã (AM);8152
2007;1300102;Anori (AM);13834
2007;1300144;Apuí (AM);17451
2007;1300201;Atalaia do Norte (AM);13682
2007;1300300;Autazes (AM);29907
2007;1300409;Barcelos (AM);24567
2007;1300508;Barreirinha (AM);26645
2007;1300607;Benjamin Constant (AM);29268
2007;1300631;Beruri (AM);13809
2007;1300680;Boa Vista do Ramos (AM);13138
2007;1300706;Boca do Acre (AM);29818
2007;1300805;Borba (AM);31098
2007;1300839;Caapiranga (AM);10547
2007;1300904;Canutama (AM);11463
2007;1301001;Carauari (AM);25110
2007;1301100;Careiro (AM);31070
2007;1301159;Careiro da Várzea (AM);23023
2007;1301209;Coari (AM);65222
2007;1301308;Codajás (AM);16025
2007;1301407;Eirunepé (AM);29411
2007;1301506;Envira (AM);16438
2007;1301605;Fonte Boa (AM);19726
2007;1301654;Guajará (AM);14102
2007;1301704;Humaitá (AM);38559
2007;1301803;Ipixuna (AM);17177
2007;1301852;Iranduba (AM);32869
2007;1301902;Itacoatiara (AM);84676
2007;1301951;Itamarati (AM);8078
2007;1302009;Itapiranga (AM);9141
2007;1302108;Japurá (AM);5281
2007;1302207;Juruá (AM);8658
2007;1302306;Jutaí (AM);17129
2007;1302405;Lábrea (AM);36909
2007;1302504;Manacapuru (AM);82309
2007;1302553;Manaquiri (AM);19164
2007;1302603;Manaus (AM);1646602
2007;1302702;Manicoré (AM);44327
2007;1302801;Maraã (AM);17507
2007;1302900;Maués (AM);47020
2007;1303007;Nhamundá (AM);17553
2007;1303106;Nova Olinda do Norte (AM);29184
2007;1303205;Novo Airão (AM);14630
2007;1303304;Novo Aripuanã (AM);18196
2007;1303403;Parintins (AM);102044
2007;1303502;Pauini (AM);18325
2007;1303536;Presidente Figueiredo (AM);24360
2007;1303569;Rio Preto da Eva (AM);24858
2007;1303601;Santa Isabel do Rio Negro (AM);16921
2007;1303700;Santo Antônio do Içá (AM);29249
2007;1303809;São Gabriel da Cachoeira (AM);39129
2007;1303908;São Paulo de Olivença (AM);30727
2007;1303957;São Sebastião do Uatumã (AM);8731
2007;1304005;Silves (AM);8211
2007;1304062;Tabatinga (AM);45293
2007;1304104;Tapauá (AM);19453
2007;1304203;Tefé (AM);62920
2007;1304237;Tonantins (AM);19090
2007;1304260;Uarini (AM);9859
2007;1304302;Urucará (AM);15716
2007;1304401;Urucurituba (AM);17184
