mun;ano;estab;taxa_estab
Mg-Abadia dos Dourados;2002;9;0,107142857
Mg-Abaete;2002;44;0,077328647
Mg-Abre Campo;2002;14;0,074074074
Mg-Acaiaca;2002;4;0,083333333
Mg-Acucena;2002;3;0,034482759
Mg-Agua Boa;2002;5;0,0625
Mg-Agua Comprida;2002;3;0,036585366
Mg-Aguanil;2002;7;0,092105263
Mg-Aguas Formosas;2002;6;0,039735099
Mg-Aguas Vermelhas;2002;2;0,052631579
Mg-Aimores;2002;37;0,086448598
Mg-Aiuruoca;2002;8;0,05
Mg-Alagoa;2002;2;0,142857143
Mg-Albertina;2002;6;0,109090909
Mg-Alem Paraiba;2002;58;0,077747989
Mg-Alfenas;2002;142;0,077468631
Mg-Alfredo Vasconcelos;2002;5;0,055555556
Mg-Almenara;2002;28;0,051376147
Mg-Alpercata;2002;9;0,08411215
Mg-Alpinopolis;2002;42;0,124260355
Mg-Alterosa;2002;13;0,068062827
Mg-Alto Caparao;2002;3;0,06122449
Mg-Alto Rio Doce;2002;3;0,035714286
Mg-Alvarenga;2002;1;0,111111111
Mg-Alvinopolis;2002;20;0,098522167
Mg-Alvorada de Minas;2002;2;0,076923077
Mg-Amparo do Serra;2002;1;0,023255814
Mg-Andradas;2002;158;0,14738806
Mg-Cachoeira de Pajeu;2002;13;0,317073171
Mg-Andrelandia;2002;17;0,05704698
Mg-Angelandia;2002;2;0,090909091
Mg-Antonio Carlos;2002;15;0,064377682
Mg-Antonio Dias;2002;8;0,086021505
Mg-Antonio Prado de Minas;2002;2;0,142857143
Mg-Aracai;2002;5;0,092592593
Mg-Aracitaba;2002;0;0
Mg-Aracuai;2002;32;0,086486486
Mg-Araguari;2002;235;0,096232596
Mg-Arantina;2002;2;0,064516129
Mg-Araponga;2002;1;0,029411765
Mg-Arapora;2002;10;0,091743119
Mg-Arapua;2002;1;0,043478261
Mg-Araujos;2002;85;0,371179039
Mg-Araxa;2002;179;0,081697855
Mg-Arceburgo;2002;21;0,100478469
Mg-Arcos;2002;118;0,141317365
Mg-Areado;2002;20;0,067340067
Mg-Argirita;2002;5;0,069444444
Mg-Aricanduva;2002;1;0,1
Mg-Arinos;2002;13;0,074285714
Mg-Astolfo Dutra;2002;63;0,260330579
Mg-Ataleia;2002;6;0,042253521
Mg-Augusto de Lima;2002;5;0,057471264
Mg-Baependi;2002;51;0,105809129
Mg-Baldim;2002;16;0,16
Mg-Bambui;2002;35;0,075107296
Mg-Bandeira;2002;1;0,047619048
Mg-Bandeira do Sul;2002;6;0,130434783
Mg-Barao de Cocais;2002;34;0,115254237
Mg-Barao de Monte Alto;2002;6;0,063157895
Mg-Barbacena;2002;199;0,076216009
Mg-Barra Longa;2002;6;0,068965517
Mg-Barroso;2002;35;0,128205128
Mg-Bela Vista de Minas;2002;6;0,064516129
Mg-Belmiro Braga;2002;12;0,139534884
Mg-Belo Horizonte;2002;4927;0,080993556
Mg-Belo Oriente;2002;14;0,076086957
Mg-Belo Vale;2002;13;0,136842105
Mg-Berilo;2002;0;0
Mg-Bertopolis;2002;1;0,045454545
Mg-Berizal;2002;1;0,1
Mg-Betim;2002;505;0,146122685
Mg-Bias Fortes;2002;5;0,1
Mg-Bicas;2002;54;0,127358491
Mg-Biquinhas;2002;6;0,117647059
Mg-Boa Esperanca;2002;30;0,031880978
Mg-Bocaina de Minas;2002;6;0,086956522
Mg-Bocaiuva;2002;56;0,091954023
Mg-Bom Despacho;2002;123;0,091722595
Mg-Bom Jardim de Minas;2002;10;0,078740157
Mg-Bom Jesus da Penha;2002;4;0,063492063
Mg-Bom Jesus do Amparo;2002;6;0,053097345
Mg-Bom Jesus do Galho;2002;4;0,041237113
Mg-Bom Repouso;2002;6;0,092307692
Mg-Bom Sucesso;2002;18;0,045226131
Mg-Bonfim;2002;9;0,108433735
Mg-Bonfinopolis de Minas;2002;3;0,03030303
Mg-Bonito de Minas;2002;0;0
Mg-Borda da Mata;2002;99;0,286127168
Mg-Botelhos;2002;16;0,049535604
Mg-Botumirim;2002;4;0,16
Mg-Brasilandia de Minas;2002;5;0,027472527
Mg-Brasilia de Minas;2002;7;0,036842105
